"NM_SubProduto";"RESULTADO";
"subpyyy";"2.490867265059001E7"
"subpjjjj";"2.7921312432132374E7"
"subpkkkk";"1585.942226361001"
"subpoooo";"1.2550631279258076E10"
"subpttt";"59490.11348833784"
"subpwww";"102170.135672926"
"subpqqq";"-1.1214143136517674E8"
"subpff";"0.0"
"subprrr";"-3577.5081109500034"
"subplll";"3094.558596"
"subpiii";"1.7003808867260605E10"
"subphhh";"-1.407774422455134E8"
"subpeee";"-3.637978807091713E-12"
"subpddd";"4627094.962050072"
"subpggg";"129.47009072933054"
"subpaaa";"1875092.4734786008"
"subpccc";"763415.8604999997"
"subpbbb";"418010.674793172"
